出現時間（ミリ秒）,スプライト名,ＨＰ,出現座標（Ｘ）,出現座標（Ｙ）,移動パターン（０～７）,移動量（Ｘ）,移動量（Ｙ）,ショットパターン（0～4）,弾速,発射間隔(ミリ秒),持ち点
3000,Enemy,5,20,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,120,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,220,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,320,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,420,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,520,-50,1,0.05,0.15,0,0.3,500,100
0,Enemy,5,620,-50,1,0.05,0.15,0,0.3,500,100
3000,Enemy,5,620,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,520,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,420,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,320,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,220,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,120,-50,2,0.1,0.15,0,0.3,500,100
0,Enemy,5,20,-50,2,0.1,0.15,0,0.3,500,100
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
5000,Enemy,5,556,-50,2,0.1,0.1,2,0.15,1500,50
0,Enemy,5,312,-50,2,0.1,0.1,2,0.15,1500,50
0,Enemy,5,64,-50,2,0.1,0.1,2,0.15,1500,50
5000,Enemy,5,64,-50,7,0.1,0.15,0,0.3,500,100
1000,Enemy,5,64,-50,7,0.1,0.15,0,0.3,500,100
1000,Enemy,5,64,-50,7,0.1,0.15,0,0.3,500,100
3000,FixedBattery,5,556,-50,0,0.1,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0.1,0.05,1,0.15,1000,50
0,Enemy,5,312,-50,2,0.1,0.1,3,0.2,1500,50
2000,FixedBattery,5,556,-50,0,0.1,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0.1,0.05,1,0.15,1000,50
0,Enemy,5,312,-50,2,0.1,0.1,3,0.2,1500,50
2000,FixedBattery,5,556,-50,0,0.1,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0.1,0.05,1,0.15,1000,50
0,Enemy,5,312,-50,2,0.1,0.1,3,0.2,1500,50
3000,Enemy,5,556,-50,4,0.1,0.15,0,0.3,500,100
1000,Enemy,5,556,-50,4,0.1,0.15,0,0.3,500,100
1000,Enemy,5,556,-50,4,0.1,0.15,0,0.3,500,100
2000,Enemy,5,64,-50,5,0.1,0.15,0,0.3,500,100
1000,Enemy,5,64,-50,5,0.1,0.15,0,0.3,500,100
1000,Enemy,5,64,-50,5,0.1,0.15,0,0.3,500,100
3000,Enemy,5,20,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,120,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,220,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,320,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,420,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,520,-50,0,0.05,0.15,0,0.3,500,100
0,Enemy,5,620,-50,0,0.05,0.15,0,0.3,500,100
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
3000,FixedBattery,5,556,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,312,-50,0,0,0.05,1,0.15,1000,50
0,FixedBattery,5,64,-50,0,0,0.05,1,0.15,1000,50
5000,Enemy,5,20,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,120,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,220,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,320,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,420,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,520,-50,0,0.1,0.15,2,0.2,4000,100
1000,Enemy,5,620,-50,0,0.1,0.15,2,0.2,4000,100
5000,Enemy,5,620,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,520,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,420,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,320,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,220,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,120,-50,0,0.1,0.15,3,0.2,3000,100
1000,Enemy,5,20,-50,0,0.1,0.15,3,0.2,3000,100
